total_recommend,days_since_earliest,word_count,weekly_recommend,remaining_attributes,status,contract_vip,author_level,total_works,total_creation_words,creation_days
277,13.0,8789,0,"['奇幻', '神秘幻想']",0,0,0,1,8789,4
0,0.0,1044,0,"['现实生活', '家与情感']",0,0,0,0,0,1
4,0.0,4209,0,"['游戏', '电子竞技']",0,0,0,1,10000,25
2,35.0,2188,0,"['轻小说', '原生幻想', '轻小说']",0,0,0,1,2188,1
81,20.0,33900,0,"['悬疑', '诡秘悬疑']",0,0,1,5,330000,135
27,15.0,33500,0,"['轻小说', '搞笑吐槽', '轻小说']",0,0,0,2,77000,57
32,0.0,17000,0,"['玄幻', '东方玄幻']",0,0,0,0,0,6
10,0.0,14000,0,"['轻小说', '影视衍生', '轻小说']",0,0,0,0,0,0
11,0.0,14000,0,"['现代言情', '都市生活']",0,0,0,0,0,0
3,43.0,5090,0,"['诸天无限', '无限']",0,0,0,1,5090,6
24,14.0,34700,0,"['玄幻', '异世大陆']",0,0,0,1,35000,12
4,0.0,7413,0,"['玄幻', '异世大陆']",0,0,0,0,0,41
2,0.0,1002,0,"['短篇', '生活随笔']",0,0,0,0,0,1
3,0.0,3296,0,"['现实', '人间百态']",0,0,0,0,0,8
2,0.0,1088,0,"['玄幻', '东方玄幻']",0,0,0,0,0,1
28,32.0,81800,0,"['玄幻', '高武世界']",0,0,0,6,210000,117
34,61.0,88800,0,"['悬疑', '诡秘悬疑']",0,0,0,1,89000,25
1,151.0,1707,0,"['古代言情', '古典架空']",0,0,0,1,1707,13
3,0.0,8209,0,"['科幻', '末世危机']",0,0,0,0,0,3
14,79.0,28100,0,"['科幻', '末世危机']",0,0,0,2,50000,14
2,0.0,1097,0,"['短篇', '短篇小说', '轻小说']",0,0,0,0,0,8
6,0.0,8504,0,"['现实', '人间百态']",0,0,0,0,0,4
54,35.0,49900,0,"['科幻', '未来世界']",0,0,0,1,50000,29
8,0.0,10600,0,"['现实', '时代叙事']",0,0,0,0,0,3
3,0.0,6295,0,"['玄幻', '高武世界']",0,0,0,0,0,31
4,0.0,8829,0,"['仙侠', '幻想修仙']",0,0,0,0,0,2
2,0.0,1009,0,"['短篇', '生活随笔']",0,0,0,0,0,1
6,0.0,7181,0,"['玄幻', '东方玄幻']",0,0,0,0,0,0
58,12.0,6024,0,"['都市', '商战职场']",0,0,0,1,6024,5
3,0.0,6040,0,"['奇幻', '神秘幻想']",0,0,0,1,57000,193
16,15.0,19500,0,"['历史', '两宋元明']",0,0,0,1,20000,6
204,153.0,318400,0,"['都市', '娱乐明星']",0,0,1,1,320000,346
32,0.0,29500,0,"['轻小说', '原生幻想', '轻小说']",0,0,0,0,0,0
19,9.0,32800,0,"['古代言情', '经商种田']",0,0,0,1,33000,4
2,0.0,1037,0,"['玄幻', '异世大陆']",0,0,0,0,0,2
56,26.0,117300,0,"['轻小说', '衍生同人', '轻小说']",0,0,1,1,120000,26
45,30.0,85300,0,"['都市', '都市生活']",0,0,0,1,85000,30
56,42.0,78000,0,"['玄幻', '异世大陆']",1,0,0,2,110000,57
2,0.0,687,0,"['短篇', '短故事']",0,0,0,0,0,2
64,87.0,59600,0,"['武侠', '武侠幻想']",0,0,0,1,60000,25
1869,58.0,296100,0,"['都市', '都市生活']",1,1,3,1,300000,334
29,34.0,39400,0,"['奇幻', '神秘幻想']",0,0,0,1,39000,15
47,13.0,8738,0,"['轻小说', '原生幻想', '轻小说']",0,0,0,1,8738,40
465,94.0,352200,0,"['科幻', '星际文明']",1,1,1,2,520000,145
11,29.0,9787,0,"['轻小说', '衍生同人', '轻小说']",0,0,1,2,56000,31
0,7.0,37100,0,"['诸天无限', '无限']",0,0,1,1,37000,7
2,45.0,6451,0,"['都市', '商战职场']",0,0,0,1,6451,2
0,0.0,24600,0,"['古代言情', '古典架空']",1,0,0,0,0,6
2,0.0,1062,0,"['仙侠', '幻想修仙']",0,0,0,0,0,0
4361,153.0,892000,1,"['仙侠', '修真文明']",0,1,3,1,890000,167
5732,153.0,830900,3,"['仙侠', '古典仙侠']",0,1,3,1,830000,153
10,24.0,30299,0,"['都市', '都市异能']",0,0,0,1,30000,9
